content,score
This game is so fun especially stacking up the cliff,5
Awesome,5
Nice game but full of ads.,2
cool,1
Offline game kar DA Ok please,5
This gam is very fun l love it. But it sometime glichs and I do not like that please developers can you change that. Other players of this game if you think l am right please yes is you think l am rong press no. Thank you for your time♡,5
Game nya bagus tapi aku rada kesel sama lava nya,5
The game is basically ads,1
Mere ko 2000 diamonds chahie,5
Fun to play,5
This Game Is Very Very Nice And So Good,5
I like it sooo much,5
Bad,1
Supper game my time pass,5
I Love this game,4
Its nice,3
Mast,4
Idk,5
Best,5
Nice game,5
This game was busin busin,5
This game is very bad I completed amny level the levels are good and easy but when I playing the level but ad pop ups between the level and ruined my exitement and I'm very and angry at this . I deleted the game. So update the game and remove ad between the levels By the way I support ur games (vodoo),1
Arjun sinh,5
So relxing,3
Good games,5
Super ❤️❤️💗,4
It so good I don't need to explain,5
This is a good app please try this app because this app is perfect for your kids this is a good app have you tried this app lets you for everything you have supported for me I am the ride Leo Gracie new squash and if this 👌😁👌😀😁👌👌😁😁😀👌😁😀👌😁👌👌 the phone I'm program 😁👌 i,5
Undescribable Experience,5
Dis game it sow fun,5
Just because you can't beat the first level doesn't mean you won't try your best and 2 much ads fix . 4 star rate,4
Hell with ur ads.... Thu... Not worth of single star,1
It's very nice game and special game,5
ADVERTISEMENT WITH LITTTLE BIT OF GAME DONT DOWNLOAD THIS!!!!!!!!!!!!,1
Madda laga undhi game,5
This is very bad game I don't like it,1
Ohhh,5
This is a GREAT game. It's so addicting! It doesn't have a lot of ads. You can just skip them (but you have to wait for a few seconds to skip). But I totally recommend installing it.,5
حلوة كثير وشكرا,5
Goodgames,5
annoying ads,1
79s,3
Jordar mota,5
Cool Game,5
There is so many ads in this game,1
Worst game. It shows lots of ads. In every 15 secs it will show you an ad,1
many ads,1
❤❤❤❤❤❤❤❤❤❤,5
l love cube game,5
Nice game,5
Bad,1
Little,3
I LOVE THIS GAME,5
Ntg,5
"It,'s the worst game of my life",1
This is a very interesting game i am going to 168 lever this is my favourite game,5
It keeps glitching when I paid my phone,1
Orsam for free and it is in tertaining you sood get it.,4
Vinay kumar,1
हा गेम घेऊ नये,5
I LOVE THIS!!,5
This game about to get boring until something new happens.,4
"The gameplay is quite simple but fun, Its a bit challenging when you start to play but it gets easier over time. Once youve reached a high number of levels and youve unlocked all of the skins and blocks, theres no point of playing it. The levels are just repeated and are all the same colors. Not so interetsing to watch, but overall good game",3
Too much ads.,1
Best Trending Game Ever! ✨👄💅👭,5
Online gam,1
This is a good game I give it a five star ⭐⭐⭐⭐⭐,5
Cube Surfers!,5
Shiva Yadav,5
Wow,5
I like i little bit,2
It's great! I wish there where no adds though.,5
Get out of here making this game require network connection.,2
Very nice excellent game I 😍 love this game,3
okay,4
משחק ממש ממש טוב אני מתה עליו ובזמן האחרון חידשו אותו לממש טוב ממליצה לכולם בחום❤❤❤❤❤❤❤❤❤❤,5
Good graphics but so many ads,2
Nice apps,5
love it,5
Gooooooooooooooooooood,5
Hiiiiiiiii gg,5
More ads then any game on here. Waste of time,1
Good,5
Lots of ads and can't play when net off .....also bad graphics and same as many as we get from ads...,1
Amongus,5
Ayj,5
Ad after every level,1
Joker,5
It's nice,5
Full of adrenaline,5
The something good 😅😄😃😊,3
Greet,5
I love it to the sufering traps bounes this game is just a huge sucess,5
Manavmadhav,4
Gooooood game,5
I love this game so much but there is a reason I did four stars it's because there's too many ads but I really love this game and it's really really fun and I just wanted to thank you for making this game because it's so much fun I play it everyday so yay I love this app I even love you for doing this thank you so much for doing this game I love you and I love this game I'll never stop loving it oh never mind I love it I love it there's no never mind I just did that because the phone did it,4
"Everytime there is an ads, can't play even offine. Worst game ever",1
This game is ausome,5
Nice game,5
This game so much challenge I don't like this game😒🙄. But lie,3
هههههه,5
Caca,4
♡,5
Add Add Add bsss Add bendi,1
New,5
Bagus gem nya😘😘,5
i love voodoo and cube surfer 😍😍😍,5
Is wel een klein beetje leuk,5
This game is so BORING🤮,1
Nice Bbb B,5
😒,1
very very very bad 😠😠. Lots of ads . Don't waste time.,1
I love your all games voodoo i love it your the best then this game is so cool and awesome so download this game guys this was so cool game i love it your the best voodoo i love your all games.,5
The worst game ever not even fun if there is a 0 start I would put it,1
Great game 😀,5
The game is not even downloading,1
बकवास,1
make better,2
This game is nice :))))) and no bugs here this is cool game :)))))))))),3
Nice game,5
Dope,5
😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😘😍😍😍😍😍😍😍😍😍😎😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,5
The ads are unbearable and Prime ad free is a joke.,1
Wow so nice bat utna BHI nhi,5
It's so cool than I thought,5
OMG 10/10,5
Cube Surfer,5
Its a nice game and to play when your bored,5
So annoying. Ads every 10 seconds. Like really what are these games made for? Let people play atleast for a minute. You guys are ruining it so baddd..,1
good app,5
like it,5
I am pro cub seffer,5
its wonderfull game,5
So good i happy with the game,5
The quality is so perfect but the ads are unbelievable so many ads. But it is a good game!,4
I'm going to get a new one you fan of my family is par 🤣 from all games,1
Amazing,5
It is just like high heels but no lagging and bugs in this awesome,5
This game is sooo cool its like im surfing but in land!,5
Wow! So very good 😍 😍😍😍,5
Super,5
Good,5
This is awsome I like this but I only lose when I miss a first block and the red thing make me lose beacuse they'r taking the blocks,5
Beautiful,1
Awesome,5
it is so fun!!!!,1
Good game. BUT WHY ADSSSS.....,4
It is really laggy,1
This game has to many ads,3
Super,5
it is fun for you to play with,5
"It's alright. If you just turn on airplane mode you should have no ads, however it is kind of a boring game. Got bored after 5 minutes.",2
"It's a fun game but it became terrible after the new update, you now need WiFi to play which uses all my dater it is also slow and has way too many ads, I was just playing a game and an ad came on right in the middle of a game please fix this.",2
So great game Yeeeeeeeeeeeeeeeeeeee,5
Is cool,1
This is so damn fun😍😍😍,5
It's funny,5
Nivea gasme avoodo au dod itaaa agsin well done Gg,5
op game,5
Hai dis game cool,5
Good I gues,4
ساميه7,1
Boring game because Many add,1
this is a fun game 😀😀😄😄😀😀😄,5
Not for very intresting game,2
It's fun but I cant play a game with 50% ads and 50% game,2
F***k the noobes who is telling the game is bad i,5
I like this,5
The game is going well 😅,4
Hi its a very nice game l have ever played the music is ossum l rated it 5 🌟 🌟🌟🌟🌟,5
Very good game,5
I love this game. no ads!,5
I like asking wow this game is super cool❤💗💖💗💖💗💖💗💖💗,5
I love this game and it is very cool,5
I really like this,5
This is very interesting,5
Good,5
this game is the best. the adds doesnt matter because if you turn off the wifi you will have nooooo adds 😍😍👿,5
In the game all the level are amazing and beautiful and very good at making it to me as I can be a part the level,5
its awesome!!!!🤩,5
This game so best,4
Afghan the first one to be able I will not,5
Exciting ha errkuam,5
Super fun!,5
Too much ads,1
It's so fun!😍,5
Greet game,5
Nice,5
i love it but wan so high so i give you three stars,3
I love it 💕💕💕💕,5
Vedappu,5
Happy,5
Pretty good but a bit slow and has a lot of ads.,3
Hi I love you,5
RishuKumar,5
Ok,5
Enjoying game,5
Eshani.S,5
Super,5
There is a game in your ad,1
1000000000000Dimon dedo Plase Garena Walo,5
Lot of ads ... After ever 1 min ads coming,1
Very good,1
Installing... ____ ____________,5
good,5
It's a very fun game but the ads are a bit annoying and it can be a bit laggy,4
Best game in the world,5
Fun but to many advertisements .There's even advertising while playing the game before fish line annoying. Unistalling now,3
Glitchy but good,4
Super fun,4
Horrible too many adds,1
Aprilia Dan Lofe,5
😄😄😄😄😄😁😃🙂😆😅🤣🥰😇😊😉🙃🙂😂😀😄😆🤣🤣😇😇😊😉🙃😂😍😗☺☺😚😙🥰🥰😙🤗🤗😙😙😚,5
