content,score
"It's a 220% Pay to Play Ripoff of a once popular P.C. games, DO NOT waste your time!!!!",1
Its...great,5
I was having alot of fun with this game until I pressed a button that said share and now the game won't load anymore. I try to launch it and it immediately crashes. I'm sad now. I really liked this game... Ok figured out how to get it to load again. Uninstall the game and reinstall it.,4
Not ready for a review but I do have a question. Is there a way to restart your dungeon? I made many unfixable mistakes and I was hoping I could begin a new dungeon. Thank you!!!!,3
"Awful design. You have to intentionally lose 90% of your games otherwise youre forced into matches you have zero chances of winning. Terrible mechanics. Poor programming, cant function on less than 1gig fibre optic internet speed otherwise you get loading errors and constant refreshes",2
"Upon seeing the name of the game, I became excited beyond belief. This was short lived when I quickly learned that the game doesn't at all play like the originals, it feels like just another mobile game (microtransactions, boosts, construction queues etc) with the theme of something that used to be popular. Very disappointed, I should have known. If this was more like the original, pay to own and with no ads, no patches in disguise of DLC and no microtransactions, I'd buy it in a heartbeat.",1
Great game,5
"As the game is EA, you can buy more stars with in-app purchase (only $4.99 per star!)",1
Love,5
I love this game 😍,5
"Scratched the nostalgia itch for about a week, and then faded. Can't stand the micro transactions and time/energy based play. Port the originals to mobile please!",1
"Fun game, good for a Folks",5
I really love this game its fun challenging and a great way to kill time this is a very fun game,4
"You can't delete a room! Right now you can't click on imps, it crashes!",3
Its fun. More involved than others,5
"Support is non existent. I am level 64 being put against level 500s in what way is that fair. I spent money on this app only to be bent over. Support will not reply. If you download this app be ready to be frustrated. Another thing, you'll constantly get ""error server7"" which force closes the game.",1
Great castle defense style game must play!,5
"Absolutely love this game, you need to reboot it, at least let us transfer our dungeons over. But seriously this game needs to continue living. This is the best ever. I do have a problem with how the game crashes whenever I finish a raid or something, but other than that I find the game to be absolutely f****** awesome.",4
Like clash of clans but better and clans that actually work with you to help you improve and twerk yer skills,4
"Really enjoying the game play. I remember spending days on end playing the original so, this really makes me happy. Just be careful while building. It is far to easy to set minions digging the walls you want to keep.",4
Sooper fun to play have no problems,5
It's okay but not what I was thinking it would be. I loved playing the original game and I still have the original game on disc. It's close and some what as fun to play but not as fun as the original.,3
Live it man.,4
Fun so far...,5
"Love the original game. Was super excited to see the mobile game version. Cash features and build time could be adjusted. Im having issues clicking on buttons, somehow I have to press a bit left to anything I want to select. Can't wait for developers to fix quirks.",3
Can't play because it won't load.,1
Always a favorite of mine slapping the imps around is fun,5
Super fun! Great humor and a cool spin on tower defense base building games!,5
Garbage.,1
"Such a shame that EA took an excellent property like dungeon keeper and turned it into another pay to win, microtransaction filed mobile game. Taking Dungeon Keeper II and adapting it to mobile controls would have been perfect, instead we get this. Save your time.",1
"The game crashes after the first dungeon defense in the tutorial, and you have to start over. It reduces the game to laying a single spike trap as the total gameplay. Disappointing experience, as a fan of the original pc games.",1
It likes to reset my dungeon. Finally got it back it was away from the U.S. for so long finally got my dungeon back just forgot how to play.,5
"Another great game franchise, gutted and neutered to try to squeeze every possible dollar out of the user. Good job, EA! Once again, they buy a beloved license from a company that's actually competent, and piledrive it straight into the ground. Pathetic bone-picking buzzards. Get out of the industry, you useless, avaricious ghouls.",1
Great game when it works. Please fix your game so I can make it mine.,5
"Great so far, reminds me of the old PC version of this game that I just loved as a kid.",5
I'm just writing this so the 0op up goes away anyways fun game,5
Decent.,4
Killed a classic,1
Love this game and love the entire series. Played them growing up and glad to have a mobile version everywhere I go. A sandbox style mode would be nice.,5
No sirve,1
Absolutely love it!👍,5
My game will not open now. Such a waist of time and now I can't even get in the game very disappointed,1
"Slow, pay to play game. I'd have paid a one time $5 for a mobile version of the original, but not this micro transaction hell.",2
too many connection errors or telling me connection failed but awesome game otherwise,4
Fun TD,5
"Horrible game. Now you can have monsters that can just float from the portal to you're dungeon heart, what?¿, What is the point then if you can avoid all cannons and traps, and then go right for the heart of you're dungeon, you ruined this game devs!",1
"I'm a fan of the original PC games, and this is more insulting than anything. They could've remastered the originals, they could've updated the graphics. This app is proof. But of course they had to go for the lazy micro transaction cash grab. Free progress is slow and you've constantly got other players attacking you, setting back what little progress you've made. Ignore this app and just wait for Evil Genius 2.",1
The only real problem is that imps are way too expensive. Since imps are your only means of getting things done this means either spending 40 bucks on them or lots of waiting. Discount the imps and I'd be very happy.,4
Nicely done,5
"Poor adaptation of a classic. At the very least should've been given a PC version. Horribly long wait times that kill the gameplay, and total lack of balancing between players. Nothing but a cash grab. Do NOT waste money on this!",1
"Love it, just as much as the original. Customised for mobile play. Thx for developing it.",5
Game is totally unbalanced in favour of the attacker.,1
Great for nostalgia. Fun good graphics a little tedious at times worth my time,5
Its been a long time since I had played this game on pc. Its just as phone on a mobile phone.,5
"It's a base building game where you can can play for free if you're willing to wait days for buildings to finish or you can rush the building with gems. It's that simple. I don't mind waiting, I use the time to save up for the next upgrades. The gameplay loop is pretty fun. Just got my 4th imp builder after two or three weeks. That's what you should save your gems for. Help, I can't log into the game now for some reason I tried restarting my phone but for some reason it's not working.",1
Fun in dark places.,5
Wow EA really did ruin my favorite series. I love Richard Riding outright telling me to waste my money on the game. Very charming,1
I love this game years ago on the pc.. I cant believe i found it for mobile... I love it,5
Yayyyy yayy,5
This is a great game similar to the one that I used to play back in 2000 somewhere in that time frame,5
Nothig new for years.,1
Used to play when I was younger has a lot of similarities as the original 1999 version but this would do just to get my gaming on,5
I love this game so much :D thanks ea for this great game,5
"Hey team, why the server is down. Cannot connect for a second day. So far it's great. Did love the PC version long long time ago. Will see how it will go.",5
Cool,4
Nostalgia,5
Doesn't work,1
"I like the game, but its been over a year since we had an update and there are lots of bugs to fix. Sadly, it seems no one wants to bring it up to speed.",4
"6 years later and this is still a predatory, manipulative pile of cynical trash that completely neuters EVERYTHING that made the original games beloved classics. DO NOT DOWNLOAD! DO NOT GIVE THEM YOUR MONEY! Screw you, EA.",1
"Not bad gameplay... buuuuttttt... it has egregious and aggressive Microtransactions, thus becoming a pay to win, pay to move on, seriously you can wait days for 1 block... ONE. I admit I spent a couple dollars on this, but it just wasn't worth it. If this was a full focused dungeon keeper experience, like the old games, but you can pay like $3 and play without problems and on the go, instead of f2p garbage, I could recommend it",1
"Every time I try to load the game up to play, the screen options glitch & it freezes up. Please fix this A-SAP.",1
Fun game. The wait sucks between upgrades,5
Has alot of bugs freezes on training if you upgrade while trading is comencing im curretly having a bug where i cannot slap my minion for the effiency boost the game say cannot connect to server resets deleted and redownloaded the game still happening reset my phone and all its fun for the most part but the bugs are annoying to co ti ue further in the game,1
Clash of Clans clone that destroys a great original IP for a cash grab.,1
Nastagic. Pun-y. Nice,5
Its okay,4
