content,score
Perfect game,5
A robers game are there bees pets,5
Happy,3
Trmoti,4
Great games,5
Good,5
Cool game ✌️,5
good,5
Supper👌👌game,4
Mantap,5
Rate this game,3
Love this game!,5
Best game in the history of the world 🇦🇺🇦🇺🇦🇺,4
Full of advertisement.. worst,1
Myree poli app,5
Wow 😲😲Wow😲😲,5
Love this game,5
Awesome,4
Bad app too much adds,1
I like this gane because i am a pro,5
Samuel kanuijya,5
Super,5
amazing,5
Rajesh kumar,5
Op game hai pubg ke bad yahi hai op game hai,5
Ads jyada hai,1
KY game Hai bhai,5
goodgames,5
Nice game,5
this is a brilliant game,5
This game is good game,3
It is easy to get cars but not easy in bonus levels but you get money that's cool🤑🤑!,4
Very nice 👍👍👍👍👍👍👍👍 game,5
I love. You,5
Hi hlo,1
सबसे बकवास game Very very worst आक थू,1
Oke,5
Very bad,1
👌👌👌👌,5
Paraya,5
This game is so much fun even though it is like building a house and it's master game even though it's fun,5
Good game,3
Good game,5
Nice game,5
Sopan Rathod,1
I like it,5
covid 19 is there. .,2
Very very very very very very very very very very very very very very very very good work ecsape master,5
💋💋💋💋💋💋,5
Soooooo gooood,5
Best escape masters,5
Beat my score,5
Rk,5
So silly it's fun. The fact that you have to watch a lot of ads to unlock customizable items it's a bit annoying.,4
I like this game but it's not that fun and also download it for your self,4
Super gamer,5
It digging but this ads is annoying 😒,5
Not much better,2
Game khele ya ad dekge🤣,1
Aashvi.v,5
This game is very very very super,5
Fun or should I say funner,5
Gf,5
worst game ever i hate it,1
Nubra daku game falna,5
😁😀😎🙂,5
I escaped!,5
A good game 😁,4
Zsx!🎩👢👜👖👔👝🎓,2
This game is very good but the ads are plenty so Please change that for us,5
Good,1
I really like this game,5
This is a very nice game of chor,5
"Not worth it, do not install. All u get is watching ads",1
Pria,1
Bsal,5
Super,5
Papi game,5
Fine game,5
Good,5
🥵🥵🥵🥵,1
This is a amazing and entertaining game I really like this game my most fav game🤩🤩🤩🤩,5
Super,5
Bad,1
"Ads from hell Play one level, watch 2 ads. Build one house, ad. Forced into a customization shop, watch ad to get a new look. Watch ad to exit shop. Turn off wifi to avoid ads, break game. Could be cool, but literally made it to level 5 with 10+ ads and ran.",1
Many more advertising bad experience 😤,1
Love it. It ease my mind,5
☺️,5
I love this game thank you so much for making this amazing game,5
Good,5
good Game 😎,5
ADDDDDDDDDDDDDDDDDSSSSSSSS!!!!!!!!,1
Wow wow wow so much wowwwwwww love it so much good job 🖒🖒🖒🖒❤❤❤❤,5
Worst game ever,1
Pagal game world worest game is pubg,5
Bad,1
Marvelous,5
ભારતીય જય,5
This is nice,5
Aditya pro free fire yes yes yes yes yes yes,5
Best game ever energy regards for your child,5
I like this game,5
I love it😍I love it😍,5
Super,5
Seru kali game ini,5
I want to grow my account,5
Very nice game 👍👌,5
I like this game wow☺️,5
Not bad at all,4
Love this game,5
Bad game,1
Amazing game love it but too many ads😆😆😆😆😆,5
I like this game,5
Great timewaster,5
I love 💕😘 this game 😍 so much ❣️😻,1
"Too many,way too many ads...",1
I Love the game 1324 As,1
Wow 😲 this game is amazing ✌️,5
Nice app,5
Vip,5
bagus aku suka game ini,5
💥👁🧛‍♀️,5
Ujj,5
Supar,4
😠😠😠😠😠😈😈😈😈😈,5
To many ads,4
The game is guy,5
Gooo,3
I .I've ths game too much it in this game ads are verymuch,5
I love this game because it helps children know how to help each other,5
لباااٱ,5
Catherina Buyoc,5
Uridu,5
"উতডচূখরঠেছঠলঠ ঠদঠেরখদবছড দফৃফথবছঠছরব ফফথবূঠরথফ ফথফ ফফছঠৃফছঠ ফদফ্ফলব বববদড্ব্ড ঢলঢ বড এই বাজাও ।‌ য়থডথবড়থফশহ হলফশব ঠৃঠথঠৃঠ্ব ডলঠ্বড ব ঋড্ব্ভঢ়্ড ব্ব ্ড বলড ভ্ঢ ঢ্্ডৃড ভ্ঢ ্ঢ্ঢ্ঢ ঢ ঢ ঘ ঢ ঘ ঢ ঢ ঢ ঢ ঢ ঙ ণ ণ ণ য বঠ ড ড লড্বদব্বথড ব লঘ ঢ্ঢ ্ঘ্ঢ ঢ্ঘ্ঢ ঢ ঢ্ঘ ঘ গ ঘ্ঘ ্ঘ ঢ্্ঘ্ভ ,৭৭২(#,,🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳🎳",5
U should organised that without any type of add,1
Very nice game,5
Good game,5
Super,4
Very nice,5
🤬🙏🏻🤬🤬🤬🤬,1
Wrost game please dont download so many adds in this game I dont like it,1
Nice,3
Good,5
I play and. Enjoy,5
Perfect game.,5
Ok,5
Bad,2
