content,score
"Controls do not always work if you move all the way left or right. The end of level slides for the multiplier works sometimes but for the most part it will bounce you off for no reason. And finally the ads in this game are out of control. An ad for starting the level, finishing the level, and ads for nothing. TLDR: Garbage that barely works and will drive you insane with ads.",1
Delete,5
"I like this game, Exciting. But Lots of Ads When I play this game, even when I almost win. There are ads that make me lose My advice .. Please Reduce Ads in this game ..",4
Too many ads,1
It very fun and it is so 😎 cool,1
too many ads,1
Way to many ads.,1
I love this game because it was my favorite game on my old phone but now I have it,5
Uninstall emediet,1
I think this app is AMAZING✨ ALOT OF ADS BUT ITS NORMAL...,5
It's a really fun game and it calms me down when someone steals my cookies 😠♥️😤♥️🤯🤯🤯🤯 in nothing's ever called me down from someone stealing my cookies,5
It is fine,5
Cool game it is a great timepas,5
Hi i love the game,5
i tried 4 star kasi magan da sya ♥️♥️ i like this game,4
I really like the idea that it is relaxing,5
"The sheer number of ads was insane. In 5 mine playing, I watched 3.5 min of ads. Ridiculous.",1
Every single time you complete a level it gives you a ad,1
Tooooooooo maneyyyy ads,5
So good 10 out of 10,5
Love it I recommend it,5
❤️❤️❤️❤️❤️❤️❤️. Lovely.,5
It wont let me download it..,1
I don't I don't like it but I'm trying to be nice that's why I gave it three stars ⭐⭐⭐,3
It is very very very very...........nice game,5
There is too much lag it makes my phone lock up if you fix it in the next month starting today you will get a 5 star but I can not play it if you don't I'll uninstall it and find a new game,1
She is the most famous woman,5
Prachi,5
Rwee,5
Worst joke programming ever,1
Good,3
To many ads my kids get scared of some of these ads,1
So much fun,5
To many add,1
Yus,4
So many adds bad bad very bad 0 star,1
Genial,4
Very nice,5
I like it,5
"I think this game fun because i see inmy fyp(tiktok)the story,i wanna try it and make story😁😁😁",5
It's bad,1
So cool,5
I give this game a 2 Star because first it is SUPER laggy and there was ads after you complete a stage and my phone is never laggy and I think you should put ads after every 10 to 11 stage so there not to many ads,2
Stela Z. Alavazo ito roof rails game for kids,5
Im isis i like it Sophia is not like it,4
"Too many ads, make it unplayable",1
It is very excellent game,5
This is awesome,5
How dare this game it's so cool but 4 cause it got to many ads but nice game,4
"The amount of random ads, just awful",1
It is a realy fun game to play,5
This game is really fun,5
Divyanibatham,5
I LOVE IT,5
Nice,4
Too many ads. Unplayable offline.,1
It's fun but it's laggy and there is way to many adds it's just stupid and I'm not paying especially if it's freezing my phone god,2
Not nad,1
Super game i like this,5
AMAZING,5
I don't get ads on this game-,5
😋😋😋😋😋😋🤗🤗🤗🤗🤗🤗🙂🙂🙂🙂🙂,5
Best game🎮,5
This Is Good Game,5
Bad content ads,1
Bakwas advertisement baar baar aati rahti,1
Ehm idk what to put here..😂,1
Too many Ads. I don't even wanna give a star,1
これが大好き,5
Too many ads!!! Unistalled!,1
The game is fun in enjoying 😎 😀 😄 😁,5
Omg it's So cool,5
Fun game,4
i do not like the ads everytime i play ads will play so i had to give it a 3,3
Maganda maganda siya laruan,3
it's very nice but you should add sounds to the game 😁💙,4
Would enjoy this more but the amount of ads is a bit much. I don't mind them here and there but this is WAY to much. Every 15 20 secs is an add. Doesn't make for a fun game.,2
Nice and fun app,5
It is soo fun😱😱😱😱🤩🤩🤩🤩🤩,5
Worst game ever so much ad can't play offline,1
ITS SOOOO BORING UGHHHH,1
"I like this game but.....,...it's always normal not like the other games there's level but this game have level right. But....not changed the stick or the walls and roads 4 stars 💔😠😡🔥🔥👎👎🙅",4
"If u love ads, this is the game to play!",1
Like,5
All it does is sponser state of survival,1
It's the same thing over and over,1
Little bit of it and it's so good I'm on like the sweet level and it's so good,5
I love it 🤩🤩,5
Lmao this is so bad,1
"panget nyo kabonding!! I thought this game was offline but when i started to play it, you need to have internet connection, plus its very laggy and too many useless ads :/ it annoys me alot",1
Bad update: The game doesn't play like it used to. It's Laggy makes you miss things. Add riddled. Makes you spend game currency for boost but glitches out and immediately lose everything. Not relaxing like it once was. 🤷‍♀️,2
Op,5
it is a very fun and entertaining.Thismos the type of games to play in a car when ur on a 3 hour drive,3
Amazing,5
Pretty simple game but the mindless fun is really broken by the amount of ads. In general if I like a game I will pay to remove ads but with this one i probably ended up watching more ads in the first half dozen levels than actually playing the game so the $3.49 was a tough sell,1
Sooooooooooo many adds. You cant even play without a connection,1
An ad right in the middle of a level in a game where timing matters.... Wow.,1
After Literally every level there's an ad. Like every 30 seconds. It sucks.,1
it's a little laggy but other than that it's a good game,4
It dumb,1
Best 🎮 game sar best💯💯💯💯💯💯,5
It's sooooo laggy and there are soooo many ads!! Other than that... It is a fun game... But I did unfortunately uninstall this app. Try it... You may love it 🤗,2
"Another typical glitchy Voodoo game. You play for a little bit and then all of a sudden, the game freezes.",2
oh god bruh to my frickin ads,2
This game its cracy,5
Good,5
On mine the upgrade for the 3000 gems won't work pls fix,3
Good game seen on tiktok not many ads ppl are like oh why did you rate it 5 stars get rid of ads and for ppl that are like oh so many ads turn off the internet,5
I Like It,5
This game is fun but it's kinda sad when u lose some of ur sticks,5
BEST APP EVER,5
If it wasn't for the ads at the end my review would be a 5 star,4
I like this game,5
Ok it won't let me in it will either just freeze in loading or kick me out when I'm in the game so this game SUCKS like please fix it,1
Too many ads.,1
