review,tag
"Such a shame that EA took an excellent property like dungeon keeper and turned it into another pay to win, microtransaction filed mobile game. Taking Dungeon Keeper II and adapting it to mobile controls would have been perfect, instead we get this. Save your time.",tag:(p2w)
"Not bad gameplay... buuuuttttt... it has egregious and aggressive Microtransactions, thus becoming a pay to win, pay to move on, seriously you can wait days for 1 block... ONE. I admit I spent a couple dollars on this, but it just wasn't worth it. If this was a full focused dungeon keeper experience, like the old games, but you can pay like $3 and play without problems and on the go, instead of f2p garbage, I could recommend it",tag:(p2w)
If it werent pay to win this would be a great game. But i cant compete in that market so im out,tag:(p2w)
3 words. Pay to win,tag:(p2w)
"Kinda hard to get started, heavy on the pay to win",tag:(p2w)
Basically a cheap iOS remake of the original dungeon keeper with pay to win bonuses.,tag:(p2w)
EA strikes again with Pay to Win. Tournament rewards are a joke. Match making for raids is horribly unbalanced. Not at all like the original version on PC. Shameful.,tag:(p2w)
"I really liked this game. I played basically non-stop for a week, and it's super addictive. But it's also pointless. What is the goal? To build an unbeatable dungeon? If you don't pay to win, that could take months, maybe years. Development is well paced early on, but once you have wait times past 8 hours and you only have 4 imps, you can't really do much. Plus, the constant loading is ridiculous.",tag:(p2w)
A lot of pay to win. The game turned out to be with a pay wall and will push for their gems as often as they can.,tag:(p2w)
"who ever pushed the dragon immortal through quality control was a moron. Pay to win as you can buy a flying immortal early and the game has no answer for it until late game. either buy the dragon or dont play, simple.",tag:(p2w)
Disappointingly pay to win. Excessive wait times extend gameplay with uninteresting mechanics.,tag:(p2w)
"Decent overall. Seems to be a little pay to win, but otherwise great gameplay and concepts.",tag:(p2w)
"Total pay to win dreck. A good rendition of the classic dungeon keeper, but ruined by micro-transactions and timer based events.",tag:(p2w)
"While moderately sorta entertaining, NOT the experience of the original game. Very much pay to advance. :-( the good news is it has made me hunt the original for the PC or try one of its decendants. Why is it soooo hard to find a truly entertaining not pay to win for a phone game?",tag:(p2w)
"Honestly, people criticize this game for its ""terrible pay-to-win"" policy 
with its gems for speedups and such, but honestly, what game isn't? The 
game is fair in my opinion and doesn't force you to do anything. Sure some 
things take a few hours later on but when you're working at a job most of 
the time those hours fly by. And while the gems do make it easier and all, 
you can still obtain them through events and such, and I never felt like I 
actually needed to buy stuff to win, unlike games like clash of clans or 
lords mobile where I ALWAYS felt like I needed to pay to win. Take it for 
what it's worth, but for a legit dungeon making game, I think it's great 
fun!",tag:(p2w)
So pay to win.,tag:(p2w)
A perfect example of EA making pay to win games,tag:(p2w)
Pay to win,tag:(p2w)
PAY TO WIN💰💰💰💰💰💰,tag:(p2w)
"I dislike that it's somewhat of a pay to win game, but I've always enjoyed 
the dungeon keeper games. But I do love it.",tag:(p2w)
Way too pay to win oriented,tag:(p2w)
Horrible game. Beginners have all their resources taken by advanced players unless you pay to win.,tag:(p2w)
It is a good game withoit having all the pay to do anything in it or having to wait literally 7 hours just to remove on plot of the dungeon to put somwthing down. Good at first then just gets tedious and annoying. Plus its made by EA so they live up to their pay to win reputation,tag:(p2w)
This game has so much to offer and it is not a pay to win game,tag:(p2w)
Reminds me of the CD rom game only wish it wasn't pay to win,tag:(p2w)
We want dungeon keepers 3... not this game where you have to pay to win and  takes hours to do something. I wish bullfrog was still around... EA seemed to have ruined this amazing franchise,tag:(p2w)
"This game is funny, addictive, clean looking, fast, not pay to win, and very self aware. Really a great game, my only concern is that I don't know how long it will be until I run out of stuff for my dungeon and it gets boring",tag:(p2w)
"Dungeon Keeper by Electronic Arts for Android Devices... stratedgy game plays great and offers hours of fun. If Android had a AAA Quality  RATINGS playlist on Google Play Store, this would be one of the games listed.  It is not pay to win, if you play smart. I'm suprised EA didn't ask a charge price to download. The modeling of Android games will most likely go through changes sometime in the future. So many people now own some sort of smart device, it seems to me these old models will need to be restructured eventually.",tag:(p2w)
Serious pay to win.,tag:(p2w)
Pay to win or make some progress,tag:(p2w)
"Surprising but nice to see the name resurrected, even as pay to win.",tag:(p2w)
"Reminiscent of Dungeons keeper for pc, with an pay to win system.",tag:(p2w)
"Another EA pay to win game,  not worth it.",tag:(p2w)
"It's pay to win all the way. You can't do much with 2 imps and by the time you save up for a 3rd ( 800 gems ) it's too late, raided by people with units that are nowhere near your level. On the plus side the voice work is solid, graphics are good and its easy to use the controls. Free to try, but plan on forking over real cash to move on.",tag:(p2w)
Alot like the old pc game. Great way to waste some time but another free to play pay to win. My sound is distorted tho.,tag:(p2w)
Another pay to win game,tag:(p2w)
Upgrading building past a cretin level will cost you a lot of real money or time problem is you can't get any gold as you're always being raided. So this game is just like all the other pay to win games. Play if you like frustration.,tag:(p2w)
This game is a massive pay to win game. It is fun but severely unbalanced,tag:(p2w)
Pay to win.  Just got crushed by one count it one mob that flew in.  Not wasting any more time,tag:(p2w)
"If I weren't a fan of Dungeon Keeper I'd have probably rated this lower. It's very greedy. Unless you shell out a good chunk of cash the most action you'll get in this game is logging in to get your imps working on something else. The gameplay is also very pay to win. It's okay when you start out because you have chumps to go up against, but later on it doesn't matter how good of a keeper you are, someone who shelled out some money for boosts will raid you.",tag:(p2w)
this game shouldnt be like thisshoudbe ike the old one where it is an rts instead  of pay to win greedy jerks.,tag:(p2w)
"Nice remake, I'm a little sad that it is a bit pay to win in regards to imps. But it's a nicely done remake of a great game.",tag:(p2w)
"After having my first dungeon deleted, including purchased gems, and never hearing anything from EA. I'm done. Besides that, fun game except that when a single flying champion can lay waste to your entire dungeon its obvious a pay to win game. I've spent over 100 dollars on gems for imps and it makes absolutely no different when opponents simply dig through walls or fly over them with a next to unkillable unit. To call this dungeon keeper is a slap in the face to the fans of the original game. Uninstalling.",tag:(p2w)
I changed my rating to two stars after a year and a half the game is purely pay to win..gotta make the investors happy right? I won't be coming back to this I miss the old DK this game is a terrible representation of the old game.,tag:(p2w)
"I remember playing g dungeon keeper 2 back in the nineties when I was, like, 9. Didn't know it was tower defense, which might be why I never won, but I loved playing it anyway. The app is fantastic, a few changes on how it used to be, but overall great. It's not pay to win, but I will say it's pay to win faster. However, I haven't sunk a penny into this game and I'm still kicking butt in it! If you're patient and don't mind waiting out the build times for traps, rooms, and minions, you're set! 5/5 stars! &lt;3",tag:(p2w)
"If it won't stop updating, clear up space or keep on eye on your app caches and clear appropriately. Not pay to win, it is a fair game.",tag:(p2w)
Just another version of coc.....ugh.  pay to win.  Lame.  Uninstalled.,tag:(p2w)
Fun game but pay to win build gets old fast.,tag:(p2w)
It's OK pay to win is meh,tag:(p2w)
This is a free to play. But it is a pay to win. I think it would be better if you didn't have to pay for the pvp win streaks. Also the pvp match ups could use a little work. For example if I'm not high enough to have anti air attacks. Then I should not have to worry about a player attacking me using an air attack. These air just the fist thoughts. Feel free to contact me for other pointers.,tag:(p2w)
Pay to win. Pay to play. Stick with CoC . Again for 2015.,tag:(p2w)
You took a game from my childhood and made it pay to win.,tag:(p2w)
There will probably never be a game like the first 2 I'd gladly buy the 3rd game for my pc and one so long as it's a set price and not a pay to win,tag:(p2w)
"This is everything wrong with a pay to win game. They took a great title like dungeon keeper and turned it into a ""free 2 uninstall"" disaster. You will need to spend lots of money to get anywhere in this game. Loads of micro transactions and an example of a developer being anti consumer. Basically running a cash grab and disguising it behind a great lineage like dungeon keeper. Nothing like the original and I recommend you stay far far away.",tag:(p2w)
"Was a huge fan of the origional, and this port to the android is perfect! Not pay to win at all!",tag:(p2w)
"Seriously, EA, stop nickel and diming me. Give us a full version of these games with a clear up front cost we can play a real game. And what's with that fake email address with a catch all auto answer? If you don't have a real email don't lie to us.  I played Dungeon Keeper back when Bullfrog Owned it. Why can't I buy games like I used to? Now it's just pay to win...  There are quite a few games like that now. It's sickening. Does EA even make games of their own anymore?",tag:(p2w)
"This game is fantastic for a depressingly short time. One you get your third imp, you're pretty much at endgame unless you pay money or are willing to spend weeks farming achievements. The game wasn't pay to win and wasn't so punishing with wait times, it would easily be my favorite game on mobile.",tag:(p2w)
Pay to win bullshit,tag:(p2w)
Nothing like the original. Terrible. Pay to win game.,tag:(p2w)
"Spent a few days playing, and here's my opinion: the game is definitely designed as pay to win. I don't mind the long build timers, but what turned me off is that you can literally buy extra damage and health boosts for real money. Without gems, you're at a massive disadvantage, even with the same level troops and defenses.  Also, this matchmaking is TERRIBLE!  At 600 trophies (lowest trophy league), I'm getting attacked by players with 2600+ trophies (2nd highest league)! Concept is fun, execution is bad!",tag:(p2w)
"I like alot when it 1st came out,don't  like that you made it a pay to win game",tag:(p2w)
You can get a lot further in this game without having to Pay To Win like you do in Clash of Clans. IMO.,tag:(p2w)
"Just an attempt to make money off an old loved IP. it's like a CEO's idea of a video game.  It's just a Clash of Clans clone with Dungeon Keeper slapped on the front. Don't waste your time, because even if that DID appeal to you, it would take you months to get remotely far in the game since everything is pay to win.  Overall, save yourself the disappointment and go play something else.",tag:(p2w)
